Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	567	Predicted	0.350	0.197	30000	1	562	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	433977.0	0.004	sa_cid	FTMS + c ESI d sa Full ms2 432.8997@etd53.99 432.8997@cid30.00 [100.0000-1309.0000]	2.558
706505	568	Predicted	0.389	0.177	30000	1	563	0	3	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	251308.9	-0.022	etd	FTMS + c ESI d Full ms2 433.9021@etd53.99 [100.0000-1312.0000]	2.558
706505	569	Predicted	0.359	0.180	30000	1	563	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	341618.0	-0.040	sa_hcd	FTMS + c ESI d sa Full ms2 433.9021@etd53.99 433.9021@hcd30.00 [100.0000-1312.0000]	2.557
706505	570	Predicted	0.359	0.197	30000	1	563	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	266117.3	-0.043	sa_cid	FTMS + c ESI d sa Full ms2 433.9021@etd53.99 433.9021@cid30.00 [100.0000-1312.0000]	2.557
706505	571	Predicted	7.827	0.252	30000	1	564	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	389069.0	-0.002	etd	FTMS + c ESI d Full ms2 648.8460@etd121.47 [100.0000-1308.0000]	2.557
706505	572	Predicted	7.211	0.254	30000	1	564	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	370496.3	0.014	sa_hcd	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@hcd30.00 [100.0000-1308.0000]	2.557
706505	573	Predicted	7.211	0.261	30000	1	564	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	398694.5	-0.028	sa_cid	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@cid30.00 [100.0000-1308.0000]	2.557
706505	574	Predicted	10.779	0.135	30000	1	540	0	2	-35.76	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	667690.1	0.034	hcd	FTMS + c ESI d Full ms2 649.8486@hcd30.00 [100.0000-1310.0000]	2.557
706505	575	Predicted	27.524	0.135	30000	1	540	0	2	-32.55	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	577000.2	0.030	hcd	FTMS + c ESI d Full ms2 583.2988@hcd30.00 [100.0000-1177.0000]	2.557
706505	576	Predicted	9.824	0.254	30000	1	574	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	309804.6	-0.035	etd	FTMS + c ESI d Full ms2 649.8486@etd121.47 [100.0000-1310.0000]	2.557
